"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","normalized_z"
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.237015586,0.964080572,0.581747562,0.978666072,1,0.519145945,0.344130791,0.994820625,0.583333333,0
0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.399639503,0,0,0.993799022,0,0,0,1,0,0
1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0.5757288,0.257627388,0.979201817,0.968513846,1,0.124491668,0.576018582,0.992330749,0.583333333,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13943894,0,0,0.904131584,0,0,0,0.999999931,0,0
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.107784373,0.505275971,0.566879321,0.724860062,1,0.253577231,0.335387241,0.953652985,0.583333333,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.158276501,0,0,0.999252599,0,0,0,1,0,0
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.231790301,0,0,0.999728544,0,0,0,1,0,0
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.19549817,0.191199002,0.112434881,0.965842242,1,0.091461091,0.06670671,0.988999716,0.583333333,0
0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0.54116973,0.817462641,0.406713015,0.860830291,1,0.430375368,0.240966113,0.976320338,0.583333333,0
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.206029649,0.702601989,0.976947879,0.991296344,1,0.363435017,0.574715431,0.997536613,0.583333333,0
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.282527076,0.532957145,0.508446949,0.415145179,1,0.26860522,0.300987213,0.888967004,0.583333333,6.73661437744499e-09
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234671475,0,0,0.498135389,0,0,0,0.996924071,0,2.00000005445844e-09
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.373698068,0.603604707,0.802097286,0.984801908,1,0.307521463,0.473175613,0.995827899,0.583333333,0
0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.354129635,0.768035092,0.733518109,0.927244783,1,0.401293347,0.433129704,0.986762791,0.583333333,0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.376367729,0,0,0.970148105,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027470539,0,0,0.961072905,0,0,0,1,0,0
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.169871196,0.526876963,0.719554476,0.810373063,1,0.265293759,0.424962105,0.968388617,0.583333333,0
0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0.419241105,0.764257161,0.064519022,0.969424386,1,0.399087736,0.038281556,0.99143588,0.583333333,0
1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0.450555869,0,0,0.999370398,0,0.29801165,0.315094295,1,0.416666667,0
1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0.452513823,0.06702345,0.49531303,0.916214615,1,0.031460796,0.293247204,0.980202861,0.583333333,0
0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0.101214019,0.461481076,0.79668584,0.998186515,1,0.230051476,0.470019875,0.999131049,0.583333333,0
1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.175944634,0.865649198,0.488488642,0.993458387,1,0.45913371,0.28922443,0.997693305,0.583333333,0
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.190777078,0,0,0.999082494,0,0,0,1,0,0
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.301416352,0.139079235,0.367107219,0.834541248,1,0.066003353,0.217561085,0.96563774,0.583333333,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.12198635,0,0,0.999145962,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132706448,0,0,0.868214455,0,0,0,0.99999941,0,0
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.133266655,0.965973537,0.315922193,0.976551356,1,0.520316947,0.18728622,0.993910608,0.583333333,0
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.181480717,0.040032076,0.94809176,0.774299742,1,0.01871411,0.55801813,0.958545112,0.583333333,0
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.018191045,0.904426099,0.47614831,0.990704844,1,0.482570916,0.281948283,0.997024007,0.583333333,0
1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0.77033189,0,0,0.999975828,0,0,0,1,0,0
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.199736535,0.935022287,0.737281488,0.518907583,1,0.9252484,0.741282149,0.936899278,1,0
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.381619036,0.89543519,0.84045621,0.858204503,1,0.869158353,0.8430887,0.984834596,1,0
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.198628535,0.812841784,0.648617901,0.830300625,1,0.781791183,0.653211182,0.980304234,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044923407,0,0,0.581529317,0,0,0,0.998973321,0,0
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.162093122,0.821589373,0.116005865,0.969985012,1,0.432822465,0.068824835,0.991847255,0.583333333,0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.220766431,0,0,0.991795229,0,0.083666193,0.405907765,0.999999383,0.416666667,0
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.175155533,0.027866261,0.593994917,0.979489514,1,0.022339707,0.600141689,0.993230907,1,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.259561824,0,0,0.997657389,0,0,0,1,0,0
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.348136762,0.198963793,0.561984252,0.6562663,1,0.095288077,0.332507737,0.936098089,0.583333333,0
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0.370204781,0,0,0.99965141,0,0,0,1,0,0
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.162629743,0.298114734,0.29582342,0.948432199,1,0.144948656,0.175390707,0.986529159,0.583333333,0
1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0.009259043,0.343329487,0.286424475,0.997875888,1,0.168089072,0.169826575,0.998698056,0.583333333,0
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.331990197,0.255401996,0.657629495,0.888790446,1,0.123374434,0.388688503,0.977681731,0.583333333,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057090251,0,0,0.96460252,0,0,0,1,0,0
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.051063622,0.084775973,0.758952993,0.981065586,1,0.068862724,0.762040267,0.99532606,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193662379,0,0,0.891229351,0,0,0,0.999999838,0,0
0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.324550845,0.308795368,0.083217055,0.979310684,1,0.150386702,0.049374566,0.992493136,0.583333333,0
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0.19872345,0.164921685,0.124178302,0.997636177,1,0.078576055,0.073672115,0.99838051,0.583333333,0
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.263130621,0.784906841,0.194834385,0.983811366,1,0.411173131,0.115567158,0.994820716,0.583333333,0
0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.358989707,0.80611437,0.59024326,0.358433023,1,0.423661141,0.349125004,0.882576129,0.583333333,6.21506112130632e-08
1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0.60461064,0.085915533,0.377627013,0.99670093,1,0.069806773,0.382815194,0.99843056,1,0
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01253591,0.085500696,0.647936255,0.940589696,1,0.040246939,0.38300308,0.985480629,0.583333333,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223833513,0,0,0.911154923,0,0,0,0.999999958,0,0
0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.304564306,0.477965979,0.343293476,0.347228155,1,0.238871009,0.203479343,0.863657199,0.583333333,1.79650661347175e-07
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.357185497,0.477618244,0.430617774,0.534144908,1,0.238684525,0.25508285,0.915509881,0.583333333,0
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.354712583,0.236377508,0.688115877,0.995432156,1,0.113853708,0.406556893,0.998036273,0.583333333,0
1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.071839768,0.45583979,0.623121766,0.995588953,1,0.227043251,0.368439755,0.99816425,0.583333333,0
1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.068166294,0.506022878,0.999091471,0.992300393,1,0.450684337,1,0.983758717,1,0
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.100224787,0.088503355,0.473412042,0.99202926,1,0.041679377,0.280334604,0.996541985,0.583333333,0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.210308545,0,0,0.98912933,0,0,0,1,0,0
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.098437714,0.018702986,0.93764718,0.846685641,1,0.008714939,0.551968357,0.970387776,0.583333333,0
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.249606695,0,0,0.999226758,0,0,0,1,0,0
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.353719743,0.30226361,0.336040689,0.994369557,1,0.147058986,0.1991893,0.997355801,0.583333333,0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.28717652,0,0,0.936286693,0,0,0,0.999999996,0,0
